timestamp,site_name,from_email,subject,type,body
2026-03-11T16:51:36,Lonny,submissions@lonny.com,Thank you for contacting Lonny! Re: Pitch: Mixing High and Low — Affordable Furniture That Looks Designer,auto-reply,
2026-03-11T16:51:37,Smithers of Stamford,gp@smithersofstamford.com,Re: Guest Post Submission: Industrial Style Furniture — How to Get the Look at Home,reply,
2026-03-23T13:21:00,Remodelista,reader-projects@remodelista.com,Thank you for your project submission,auto-reply,
2026-03-16T21:10:00,Inman,dani@inman.com,Re: Contributor Application — Home Furniture & Decor Expert,reply,
2026-03-11T16:58:08,This Old House,support@thisoldhouse.zendesk.com,[Request received],auto-reply,
2026-03-27T10:00:00,Houzz,editor@houzz.com,Re: Contributor Application — Home Furniture & Decor Expert,reply,
2026-04-04T02:26:00,Houzz,editor@houzz.com,Re: Contributor Application — Home Furniture & Decor Expert,reply,
2026-04-08T11:26:00,MyFancyHouse,info@bigposting.com,"BIGPOSTING ""Guest Post Submission: Luxury Living Room Looks Without the Luxury Price Tag""",reply,"Via Bigposting.com Portal — $39/post, Via Email — $49/post. MyFancyHouse (myfancyhouse.com), Home/architecture niche. TAT: 5 days."
2026-04-08T12:09:00,Snoozye,contact@snoozye.com,Re: Home Decor Guest Post — Home Staging With Affordable Furniture: A Sellers Guide,reply,"Guest Post: $80 per post per link + 6% PayPal Fee ($40 per additional link). DA 50+, organic traffic 15K+. Link Insertion: $90 per link + 6% PayPal. Max 1 link per post. Content 1000+ words. No Gambling/Insurance/CBD."
2026-04-08T12:10:00,Hooked Home,contact@hookedhome.com,Re: Guest Post Pitch: 5 Living Room Furniture Mistakes Everyone Makes,reply,"Guest post price: $80 + 6% PayPal fee per post per link + $40 + 6% per additional link. Link Placement: $90 + 6% per link. DR 43, traffic 5K+. Publication TAT: 24 Hours. Content must be human written, above 1000 words, unique. No CBD/Casino/Gambling."
2026-04-08T13:51:00,The DIY Home Decor,admin@thediyhomedecor.com,Re: Guest Post Pitch: DIY Furniture Makeover — Transform Old Pieces on a Budget,reply,"We accept paid guest postings. New Guest Post: $8, Link Insertion: $10, 2 dofollow links per post, TAT: Instant. Payment: PayPal and local Pakistani bank."
2026-04-08T16:34:00,The Global Hues,info@theglobalhues.com,Re: Guest Post Pitch: Small Space Furniture Solutions That Actually Work,reply,"Guest Post (2 dofollow backlinks) — $120. Guest Post (1 dofollow backlink) — $100. Link Insertion — $100. Extra dofollow link: $20 same domain, $100 different domain. Word Count: 600-1200 words. Content: English only, AI-free, plagiarism-free. Title under 60 chars. TAT: max 72 hours. Indexing within 24 hours. Payment in advance via PayPal/Payoneer/Wise/crypto."
